fecha;cotizacion
2018-04-12;5546.61
2018-06-12;5681.1
2018-07-12;5713.3
2018-09-12;5837.88
2018-10-12;5958.69
2018-11-12;5926.24
2018-12-12;5941.6
2018-02-13;5574.69
2018-03-13;5513.48
2018-04-13;5543.98
2018-06-13;5665.79
2018-07-13;5718.78
2018-08-13;5760.61
2018-09-13;5847.6
2018-11-13;5929.79
2018-12-13;5925.58
2018-02-14;5572.87
2018-03-14;5516.98
2018-06-14;5660.63
2018-08-14;5755.09
2018-09-14;5850.19
2018-11-14;5932.19
2018-12-14;5912.26
2018-01-15;5608.87
2018-02-15;5577.31
2018-03-15;5527.18
2018-06-15;5671.32
2018-10-15;5949.85
2018-11-15;5924.34
2018-01-16;5611.53
2018-02-16;5579.37
2018-03-16;5535.34
2018-04-16;5537.96
2018-05-16;5609.85
2018-07-16;5719.31
2018-08-16;5766.94
2018-10-16;5942.05
2018-11-16;5909.1
2018-01-17;5630.56
2018-04-17;5528.18
2018-05-17;5624.2
2018-07-17;5722.65
2018-08-17;5772.95
2018-09-17;5846.68
2018-10-17;5953.03
2018-12-17;5916.48
2018-01-18;5627.53
2018-04-18;5534.48
2018-05-18;5636.81
2018-06-18;5679.26
2018-07-18;5724.66
2018-09-18;5848.26
2018-10-18;5978.63
2018-12-18;5922.51
2018-01-19;5624.77
2018-02-19;5577.2
2018-03-19;5536.11
2018-04-19;5534.22
2018-06-19;5690.71
2018-07-19;5738.78
2018-09-19;5860.73
2018-10-19;5981.29
2018-11-19;5904.89
2018-12-19;5943.97
2018-02-20;5578.99
2018-03-20;5537.74
2018-04-20;5539.18
2018-06-20;5699.6
2018-07-20;5739.47
2018-08-20;5779.91
2018-09-20;5861.23
2018-11-20;5896.22
2018-12-20;5924.63
2018-02-21;5583.84
2018-03-21;5546.64
2018-05-21;5644.5
2018-06-21;5699.49
2018-08-21;5797.45
2018-09-21;5860.55
2018-11-21;5927.55
2018-12-21;5921.44
2018-01-22;5619.72
2018-02-22;5587.64
2018-03-22;5559.92
2018-05-22;5646.35
2018-06-22;5700.42
2018-08-22;5806.22
2018-10-22;5997.28
2018-11-22;5928.04
2018-01-23;5607.37
2018-02-23;5586.03
2018-03-23;5562.89
2018-04-23;5542.31
2018-05-23;5672.57
2018-07-23;5736.96
2018-08-23;5804.63
2018-10-23;5998.65
2018-11-23;5934.41
2018-01-24;5603.66
2018-04-24;5548.38
2018-05-24;5697.26
2018-07-24;5743.7
2018-08-24;5804.12
2018-09-24;5869.82
2018-10-24;6001.07
2018-12-24;5911.18
2018-01-25;5612.15
2018-04-25;5559.85
2018-05-25;5687.85
2018-06-25;5691.03
2018-07-25;5745.56
2018-09-25;5883.12
2018-10-25;6004.75
2018-01-26;5624.36
2018-03-26;5558.01
2018-04-26;5560.08
2018-06-26;5678.67
2018-07-26;5748.23
2018-09-26;5894.9
2018-10-26;6016.17
2018-11-26;5938.68
2018-12-26;5941.31
2018-02-27;5571.16
2018-03-27;5554.01
2018-04-27;5559.56
2018-06-27;5688.74
2018-07-27;5744.73
2018-08-27;5804.17
2018-09-27;5907.76
2018-11-27;5948.81
2018-12-27;5977.02
2018-02-28;5564.64
2018-03-28;5548.29
2018-05-28;5701.51
2018-06-28;5704.54
2018-08-28;5815.36
2018-09-28;5895.39
2018-11-28;5948.86
2018-12-28;5960.54
2018-01-29;5623.18
2018-05-29;5741.09
2018-06-29;5702.7
2018-08-29;5833.5
2018-10-29;6000.94
2018-11-29;5942.9
2018-01-30;5623.65
2018-04-30;5552.43
2018-05-30;5749
2018-07-30;5735.52
2018-08-30;5848.79
2018-10-30;5995.65
2018-11-30;5933.1
2018-01-31;5610.2
2018-05-31;5734.94
2018-07-31;5733.89
2018-08-31;5834.38
2018-10-31;5993.55
2019-02-01;6016.59
2019-03-01;6076.02
2019-04-01;6192.48
2019-07-01;6193.92
2019-08-01;6051.71
2019-10-01;6398.73
2019-11-01;6451.33
2019-01-02;5979.91
2019-04-02;6188.2
2019-05-02;6309.27
2019-07-02;6204.12
2019-08-02;6027.7
2019-09-02;6257.37
2019-10-02;6405.53
2019-12-02;6463.65
2019-01-03;5987.14
2019-04-03;6195.44
2019-05-03;6319.68
2019-06-03;6289.85
2019-07-03;6189.33
2019-09-03;6286.09
2019-10-03;6398.08
2019-12-03;6432.59
2019-01-04;6019.38
2019-02-04;6029.79
2019-04-04;6199.91
2019-06-04;6277.06
2019-07-04;6167.55
2019-09-04;6267.84
2019-10-04;6398.83
2019-11-04;6428.55
2019-12-04;6426.58
2019-02-05;6028.26
2019-03-05;6074.56
2019-04-05;6198.66
2019-06-05;6279.03
2019-07-05;6143.77
2019-08-05;6037.57
2019-09-05;6243.88
2019-11-05;6433.52
2019-12-05;6441.62
2019-02-06;6043.26
2019-03-06;6090.99
2019-05-06;6338.66
2019-06-06;6293.14
2019-08-06;6069.95
